q_str,t_str,a_str
合规性风险的含义是什么？,<triple id=1> 合规性风险	含义	公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。,<answer id=1> 公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。
怎么理解合规性风险？,<triple id=7> 合规性风险	含义	公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。,<answer id=7> 公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。
业务人员职业素养的含义是什么？,<triple id=10> 业务人员职业素养	含义	由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。,<answer id=10> 由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。
市场情报收集代表什么？,<triple id=22> 市场情报收集	含义	由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。,<answer id=22> 由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。
怎么解释供应商资质及资信材料？,<triple id=33> 供应商资质及资信材料	含义	由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。,<answer id=33> 由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。
供应商资质及资信材料是什么等级的风险？,<triple id=36> 供应商资质及资信材料	风险等级	中,<answer id=36> 中
客户管理的定义是什么？,<triple id=47> 客户管理	含义	由于公司对客户服务工作管理不到位，导致客户对公司的满意度低，造成客户流失的风险。,<answer id=47> 由于公司对客户服务工作管理不到位，导致客户对公司的满意度低，造成客户流失的风险。
系统开户的含义是什么？,<triple id=55> 系统开户	含义	客商提供的开户资料不完整，导致后续合同执行过程中业务中断，引起用户体验差的风险。,<answer id=55> 客商提供的开户资料不完整，导致后续合同执行过程中业务中断，引起用户体验差的风险。
系统开户的风险等级是多少？,<triple id=62> 系统开户	风险等级	中,<answer id=62> 中
与不良交易对象开展业务的定义是什么？,<triple id=65> 与不良交易对象开展业务	含义	与不良交易对象开展业务，导致公司存在经营风险或廉洁风险。,<answer id=65> 与不良交易对象开展业务，导致公司存在经营风险或廉洁风险。
与不良交易对象开展业务代表什么？,<triple id=67> 与不良交易对象开展业务	含义	与不良交易对象开展业务，导致公司存在经营风险或廉洁风险。,<answer id=67> 与不良交易对象开展业务，导致公司存在经营风险或廉洁风险。
怎么理解与不良交易对象开展业务？,<triple id=70> 与不良交易对象开展业务	含义	与不良交易对象开展业务，导致公司存在经营风险或廉洁风险。,<answer id=70> 与不良交易对象开展业务，导致公司存在经营风险或廉洁风险。
钢厂货物信息获取的含义是什么？,<triple id=73> 钢厂货物信息获取	含义	钢厂不提供货物出厂信息或出厂信息获取不畅，货权不受控，导致公司资金及货物存在风险。,<answer id=73> 钢厂不提供货物出厂信息或出厂信息获取不畅，货权不受控，导致公司资金及货物存在风险。
钢厂货物信息获取指什么？,<triple id=77> 钢厂货物信息获取	含义	钢厂不提供货物出厂信息或出厂信息获取不畅，货权不受控，导致公司资金及货物存在风险。,<answer id=77> 钢厂不提供货物出厂信息或出厂信息获取不畅，货权不受控，导致公司资金及货物存在风险。
统购分销供方复评的定义是什么？,<triple id=83> 统购分销供方复评	含义	对供应商业务执行缺少评价、资信变化未及时获取，导致不合格供应商继续进行业务往来的风险。,<answer id=83> 对供应商业务执行缺少评价、资信变化未及时获取，导致不合格供应商继续进行业务往来的风险。
统购分销供方复评指什么？,<triple id=86> 统购分销供方复评	含义	对供应商业务执行缺少评价、资信变化未及时获取，导致不合格供应商继续进行业务往来的风险。,<answer id=86> 对供应商业务执行缺少评价、资信变化未及时获取，导致不合格供应商继续进行业务往来的风险。
开立公司银行账户的定义是什么？,<triple id=92> 开立公司银行账户	含义	产生资金活动风险，影响企业货币资金安全及相关岗位人员从业。,<answer id=92> 产生资金活动风险，影响企业货币资金安全及相关岗位人员从业。
开立公司银行账户代表什么？,<triple id=94> 开立公司银行账户	含义	产生资金活动风险，影响企业货币资金安全及相关岗位人员从业。,<answer id=94> 产生资金活动风险，影响企业货币资金安全及相关岗位人员从业。
开立公司银行账户的风险等级是多少？,<triple id=98> 开立公司银行账户	风险等级	低,<answer id=98> 低
仓库准入代表什么？,<triple id=103> 仓库准入	含义	准入评价不充分，导致非合格供方进入供方白名单，从而造成货物损失的风险。,<answer id=103> 准入评价不充分，导致非合格供方进入供方白名单，从而造成货物损失的风险。
仓库准入是什么等级的风险？,<triple id=108> 仓库准入	风险等级	高,<answer id=108> 高
仓库选择是什么意思？,<triple id=111> 仓库选择	含义	选择的仓库为仓商一体仓库，即仓库实际从事钢材贸易业务，可能存在仓库与贸易商勾结，监守自盗的货权控制风险。,<answer id=111> 选择的仓库为仓商一体仓库，即仓库实际从事钢材贸易业务，可能存在仓库与贸易商勾结，监守自盗的货权控制风险。
仓库选择指什么？,<triple id=113> 仓库选择	含义	选择的仓库为仓商一体仓库，即仓库实际从事钢材贸易业务，可能存在仓库与贸易商勾结，监守自盗的货权控制风险。,<answer id=113> 选择的仓库为仓商一体仓库，即仓库实际从事钢材贸易业务，可能存在仓库与贸易商勾结，监守自盗的货权控制风险。
怎么理解仓库选择？,<triple id=115> 仓库选择	含义	选择的仓库为仓商一体仓库，即仓库实际从事钢材贸易业务，可能存在仓库与贸易商勾结，监守自盗的货权控制风险。,<answer id=115> 选择的仓库为仓商一体仓库，即仓库实际从事钢材贸易业务，可能存在仓库与贸易商勾结，监守自盗的货权控制风险。
承运商准入是什么意思？,<triple id=120> 承运商准入	含义	准入评价不充分，准入的承运商无法满足运输需求，造成发生运输纠纷或者货物损失的风险。,<answer id=120> 准入评价不充分，准入的承运商无法满足运输需求，造成发生运输纠纷或者货物损失的风险。
承运商选择的含义是什么？,<triple id=127> 承运商选择	含义	因承运商选择不当，发生悔单、货损等情况导致公司利益受损的风险。,<answer id=127> 因承运商选择不当，发生悔单、货损等情况导致公司利益受损的风险。
承运商选择指什么？,<triple id=131> 承运商选择	含义	因承运商选择不当，发生悔单、货损等情况导致公司利益受损的风险。,<answer id=131> 因承运商选择不当，发生悔单、货损等情况导致公司利益受损的风险。
交易对象信用风险管理的含义是什么？,<triple id=136> 交易对象信用风险管理	含义	授信对象财务指标和经营状况不佳，导致公司资金风险。,<answer id=136> 授信对象财务指标和经营状况不佳，导致公司资金风险。
交易对象信用风险管理指什么？,<triple id=140> 交易对象信用风险管理	含义	授信对象财务指标和经营状况不佳，导致公司资金风险。,<answer id=140> 授信对象财务指标和经营状况不佳，导致公司资金风险。
授信占用和释放的节点是什么意思？,<triple id=147> 授信占用和释放的节点	含义	授信占用和释放的节点不准确，存在资金风险。,<answer id=147> 授信占用和释放的节点不准确，存在资金风险。
授信占用和释放的节点是什么等级的风险？,<triple id=153> 授信占用和释放的节点	风险等级	中,<answer id=153> 中
交易职责授权的定义是什么？,<triple id=164> 交易职责授权	含义	未授权或超权限，导致业务风险未被有效识别。,<answer id=164> 未授权或超权限，导致业务风险未被有效识别。
交易职责授权指什么？,<triple id=167> 交易职责授权	含义	未授权或超权限，导致业务风险未被有效识别。,<answer id=167> 未授权或超权限，导致业务风险未被有效识别。
授权签约的含义是什么？,<triple id=172> 授权签约	含义	因超授权签约，对业务风险把控不充分，造成公司发生合同纠纷或经济损失的风险。,<answer id=172> 因超授权签约，对业务风险把控不充分，造成公司发生合同纠纷或经济损失的风险。
授权签约指什么？,<triple id=176> 授权签约	含义	因超授权签约，对业务风险把控不充分，造成公司发生合同纠纷或经济损失的风险。,<answer id=176> 因超授权签约，对业务风险把控不充分，造成公司发生合同纠纷或经济损失的风险。
怎么理解授权签约？,<triple id=178> 授权签约	含义	因超授权签约，对业务风险把控不充分，造成公司发生合同纠纷或经济损失的风险。,<answer id=178> 因超授权签约，对业务风险把控不充分，造成公司发生合同纠纷或经济损失的风险。
三新业务开展前的评估审批的含义是什么？,<triple id=181> 三新业务开展前的评估审批	含义	因未经有效评估和审批开展三新业务，导致对新业务风险预估不足，公司利益受损的风险。,<answer id=181> 因未经有效评估和审批开展三新业务，导致对新业务风险预估不足，公司利益受损的风险。
三新业务开展前的评估审批的风险等级是多少？,<triple id=188> 三新业务开展前的评估审批	风险等级	中,<answer id=188> 中
非标合同条款的风险等级是多少？,<triple id=197> 非标合同条款	风险等级	低,<answer id=197> 低
合同条款内容是什么意思？,<triple id=201> 合同条款内容	含义	合同条款内容描述不符合总额法确认收入的条件，对总额法确认收入存在误解的风险。,<answer id=201> 合同条款内容描述不符合总额法确认收入的条件，对总额法确认收入存在误解的风险。
合同条款内容的风险等级是多少？,<triple id=206> 合同条款内容	风险等级	中,<answer id=206> 中
合同金额约定是什么意思？,<triple id=210> 合同金额约定	含义	未约定合同税率，导致印花税计算基数按照合同含税金额计算造成印花税多交；或因税率变动带来的税务风险。,<answer id=210> 未约定合同税率，导致印花税计算基数按照合同含税金额计算造成印花税多交；或因税率变动带来的税务风险。
合同金额约定是什么等级的风险？,<triple id=216> 合同金额约定	风险等级	中,<answer id=216> 中
采购计划代表什么？,<triple id=220> 采购计划	含义	采购计划变动大，会造成备付金冗余或款项不能及时支付。,<answer id=220> 采购计划变动大，会造成备付金冗余或款项不能及时支付。
怎么理解采购计划？,<triple id=223> 采购计划	含义	采购计划变动大，会造成备付金冗余或款项不能及时支付。,<answer id=223> 采购计划变动大，会造成备付金冗余或款项不能及时支付。
